CPU,RAM,Storage,GPU,ScreenSize,ScreenType,TouchType,Form,Region,Price in INR
CPU 22,RAM 3,S 23,GPU 28,17,FHD,Non-Touch,Desktop,GBR,376730.081
CPU 20,RAM 3,S 46,GPU 19,15,FHD,Non-Touch,Laptop,CHN,246985.2
CPU 35,RAM 15,S 28,GPU 10,23,FHD,Non-Touch,Desktop,CAN,98233.3443
CPU 22,RAM 3,S 56,GPU 28,DT,DT,DT,Desktop,BRA,179914.40047
CPU 20,RAM 15,S 16,GPU 17,DT,DT,DT,Desktop,FRA,128379.083
CPU 42,RAM 13,S 23,GPU 28,14,FHD,Non-Touch,Laptop,GER,37785.566
CPU 22,RAM 15,S 70,GPU 28,15,FHD,Non-Touch,Laptop,AUS,99736.875
CPU 35,RAM 15,S 41,GPU 28,13,FHD,Non-Touch,Laptop,AUS,83146.14
CPU 20,RAM 15,S 28,GPU 4,27,QHD,Non-Touch,Desktop,CAN,159703.7715
CPU 20,RAM 7,S 55,GPU 26,DT,DT,DT,Desktop,BRA,236219.87865
CPU 20,RAM 3,S 39,GPU 14,15,UHD,Non-Touch,Laptop,CHN,302085
CPU 25,RAM 13,S 39,GPU 28,14,FHD,Non-Touch,Laptop,AUS,36210.51
CPU 22,RAM 7,S 41,GPU 12,15,FHD,Non-Touch,Laptop,FRA,104859.02
CPU 20,RAM 2,S 16,GPU 19,DT,DT,DT,Desktop,FRA,190399.048
CPU 20,RAM 7,S 56,GPU 26,17,UHD,Non-Touch,Laptop,AUS,477105.09
CPU 2,RAM 1,S 41,GPU 10,15,FHD,Non-Touch,Laptop,IND,56467.838
CPU 20,RAM 15,S 70,GPU 28,27,FHD,Non-Touch,Desktop,GBR,189473.263
CPU 32,RAM 13,S 73,GPU 28,10,HD+,Touch,Laptop,CHN,31977.0234
CPU 25,RAM 3,S 41,GPU 28,13,HD+,Non-Touch,Laptop,BRA,196547.7318
CPU 25,RAM 15,S 5,GPU 5,17,FHD,Non-Touch,Laptop,FRA,82109.034
CPU 20,RAM 3,S 41,GPU 26,17,UHD,Non-Touch,Laptop,IND,310706.508
CPU 25,RAM 16,S 23,GPU 5,17,FHD,Non-Touch,Laptop,FRA,106846.992
CPU 1,RAM 3,S 56,GPU 2,17,UHD,Non-Touch,Laptop,IND,325988.334
CPU 1,RAM 15,S 23,GPU 3,15,FHD,Non-Touch,Laptop,GBR,328496.5005
CPU 20,RAM 13,S 4,GPU 14,17,FHD,Non-Touch,Laptop,IND,134431.5
CPU 13,RAM 3,S 56,GPU 25,17,FHD,Non-Touch,Laptop,FRA,194178.978
CPU 25,RAM 15,S 75,GPU 14,DT,DT,DT,Desktop,FRA,106755.943
CPU 20,RAM 15,S 23,GPU 8,DT,DT,DT,Desktop,FRA,102897.9
CPU 22,RAM 3,S 49,GPU 26,DT,DT,DT,Desktop,AUS,305218.935
CPU 20,RAM 15,S 56,GPU 14,17,FHD,Non-Touch,Laptop,IND,147272.496
CPU 20,RAM 15,S 5,GPU 14,15,UHD,Non-Touch,Laptop,FRA,140700.7
CPU 1,RAM 7,S 67,GPU 14,15,UHD,Touch,Laptop,AUS,417358.305
CPU 20,RAM 3,S 54,GPU 3,17,FHD,Non-Touch,Laptop,GBR,462861.28
CPU 6,RAM 15,S 40,GPU 28,15,HD+,Non-Touch,Laptop,AUS,69514.83
CPU 40,RAM 13,S 40,GPU 28,14,FHD,Non-Touch,Laptop,CAN,52719.03
CPU 20,RAM 11,S 4,GPU 28,13,FHD,Touch,Laptop,FRA,69438.915
CPU 20,RAM 3,S 52,GPU 7,15,FHD,Non-Touch,Laptop,IND,361158.588
CPU 20,RAM 7,S 39,GPU 7,17,FHD,Non-Touch,Laptop,FRA,185638.908
CPU 6,RAM 3,S 23,GPU 28,15,HD+,Non-Touch,Laptop,FRA,46198.845
CPU 42,RAM 15,S 41,GPU 28,13,FHD,Non-Touch,Laptop,BRA,72784.13415
CPU 20,RAM 15,S 70,GPU 28,13,QHD+,Non-Touch,Laptop,IND,490935.578
CPU 20,RAM 3,S 40,GPU 28,15,FHD,Non-Touch,Laptop,CHN,112089.6
CPU 25,RAM 15,S 59,GPU 14,15,FHD,Non-Touch,Laptop,FRA,79852.5
CPU 20,RAM 3,S 23,GPU 17,DT,DT,DT,Desktop,FRA,145248.838
CPU 4,RAM 13,S 70,GPU 28,DT,DT,DT,Desktop,GER,57607.536
CPU 20,RAM 8,S 23,GPU 28,DT,DT,DT,Desktop,FRA,95282.852
CPU 22,RAM 3,S 56,GPU 18,16,FHD,Non-Touch,Laptop,GER,245473.634
CPU 20,RAM 3,S 52,GPU 7,DT,DT,DT,Desktop,IND,211021.524
CPU 22,RAM 7,S 55,GPU 3,DT,DT,DT,Desktop,CAN,429815.75
CPU 25,RAM 15,S 41,GPU 28,13,FHD,Touch,Laptop,AUS,164411.73
CPU 25,RAM 7,S 56,GPU 28,15,FHD,Touch,Laptop,FRA,67694.9
CPU 20,RAM 7,S 23,GPU 28,15,QHD+,Non-Touch,Laptop,GBR,502399.121
CPU 13,RAM 16,S 23,GPU 28,27,FHD,Touch,Desktop,FRA,183748.775
CPU 44,RAM 13,S 39,GPU 28,15,HD+,Non-Touch,Laptop,AUS,49787.955
CPU 20,RAM 16,S 4,GPU 14,15,FHD,Non-Touch,Laptop,FRA,133978.782
CPU 20,RAM 3,S 23,GPU 19,DT,DT,DT,Desktop,IND,211279.236
CPU 6,RAM 13,S 40,GPU 28,10,QHD+,Touch,Laptop,FRA,120363.733
CPU 25,RAM 3,S 41,GPU 28,15,FHD,Non-Touch,Laptop,AUS,117811.995
CPU 25,RAM 15,S 41,GPU 28,14,QHD+,Touch,Laptop,AUS,153489.42
CPU 10,RAM 3,S 43,GPU 18,DT,DT,DT,Desktop,FRA,153718.719
CPU 1,RAM 3,S 23,GPU 14,15,UHD,Touch,Laptop,IND,375679.668
CPU 13,RAM 3,S 16,GPU 22,DT,DT,DT,Desktop,CAN,292238.0461
CPU 20,RAM 3,S 45,GPU 19,15,FHD,Non-Touch,Laptop,AUS,388823.81475
CPU 20,RAM 3,S 49,GPU 7,DT,DT,DT,Desktop,AUS,193475.1
CPU 22,RAM 15,S 52,GPU 17,DT,DT,DT,Desktop,AUS,211345.785
CPU 20,RAM 3,S 54,GPU 28,15,UHD,Touch,Laptop,GBR,397531.547
CPU 22,RAM 3,S 70,GPU 26,DT,DT,DT,Desktop,AUS,282219.84
CPU 20,RAM 3,S 56,GPU 14,15,FHD,Touch,Laptop,FRA,141855
CPU 25,RAM 7,S 23,GPU 5,15,FHD,Non-Touch,Laptop,FRA,102238.5
CPU 25,RAM 15,S 54,GPU 28,13,QHD,Non-Touch,Laptop,AUS,114891.84
CPU 20,RAM 3,S 54,GPU 7,15,UHD,Touch,Laptop,IND,441001.4
CPU 12,RAM 16,S 23,GPU 10,15,FHD,Touch,Laptop,FRA,97018.614
CPU 25,RAM 15,S 41,GPU 14,15,FHD,Touch,Laptop,IND,160078.8
CPU 20,RAM 3,S 52,GPU 2,18,FHD,Non-Touch,Laptop,GBR,840093.436
CPU 20,RAM 15,S 4,GPU 5,15,FHD,Touch,Laptop,IND,166685.148
CPU 25,RAM 15,S 4,GPU 5,15,HD+,Non-Touch,Laptop,GER,313625.7544
CPU 22,RAM 3,S 66,GPU 11,DT,DT,DT,Desktop,FRA,335410.614
CPU 1,RAM 7,S 54,GPU 3,17,FHD,Non-Touch,Laptop,AUS,831558.42
CPU 22,RAM 15,S 56,GPU 12,15,FHD,Non-Touch,Laptop,GBR,213511.949
CPU 22,RAM 3,S 68,GPU 28,DT,DT,DT,Desktop,FRA,272648.565
CPU 44,RAM 15,S 39,GPU 28,15,FHD,Non-Touch,Laptop,AUS,67356.765
CPU 20,RAM 3,S 41,GPU 14,15,UHD,Touch,Laptop,FRA,234967.593
CPU 20,RAM 3,S 23,GPU 2,15,FHD,Non-Touch,Laptop,CAN,380450.9709
CPU 6,RAM 3,S 56,GPU 28,DT,DT,DT,Desktop,FRA,92222.9
CPU 20,RAM 7,S 4,GPU 14,DT,DT,DT,Desktop,AUS,134482.95
CPU 22,RAM 7,S 1,GPU 3,17,FHD,Non-Touch,Laptop,GER,542409.91
CPU 12,RAM 3,S 72,GPU 36,DT,DT,DT,Desktop,FRA,192008.523
CPU 22,RAM 3,S 56,GPU 3,DT,DT,DT,Desktop,IND,435540.714
CPU 12,RAM 13,S 54,GPU 1,17,FHD,Non-Touch,Desktop,GER,157598.7
CPU 25,RAM 13,S 23,GPU 28,15,FHD,Touch,Laptop,AUS,103776.5715
CPU 19,RAM 3,S 76,GPU 3,DT,DT,DT,0,IND,927584.784
CPU 25,RAM 3,S 16,GPU 19,15,FHD,Non-Touch,Laptop,FRA,190748.474
CPU 42,RAM 11,S 23,GPU 28,15,HD+,Non-Touch,Laptop,GER,66148.922
CPU 2,RAM 15,S 23,GPU 33,DT,DT,DT,Laptop,FRA,84546
CPU 20,RAM 7,S 70,GPU 26,15,UHD,Non-Touch,Laptop,FRA,466198.446
CPU 35,RAM 15,S 54,GPU 1,15,FHD,Non-Touch,Desktop,GER,166744.942
CPU 18,RAM 13,S 23,GPU 28,15,FHD,Non-Touch,0,CHN,63475.776
CPU 20,RAM 15,S 23,GPU 28,14,HD,Touch,Laptop,CHN,117454.428
CPU 20,RAM 7,S 52,GPU 3,17,FHD,Non-Touch,Desktop,USA,626160.528
CPU 6,RAM 13,S 39,GPU 4,14,HD+,Non-Touch,Laptop,AUS,86223.69
CPU 25,RAM 15,S 41,GPU 29,14,FHD,Touch,Laptop,IND,215439.798
CPU 20,RAM 15,S 23,GPU 30,DT,DT,DT,Desktop,GBR,166060.741
CPU 20,RAM 3,S 70,GPU 28,17,FHD,Touch,Laptop,FRA,143869.453
CPU 42,RAM 13,S 40,GPU 28,12,FHD+,Non-Touch,Laptop,AUS,118825.245
CPU 1,RAM 7,S 7,GPU 3,17,FHD,Non-Touch,Laptop,FRA,641198.397
CPU 22,RAM 16,S 23,GPU 14,DT,DT,DT,Desktop,FRA,132466.404
CPU 25,RAM 3,S 55,GPU 28,23,FHD,Touch,Desktop,FRA,178477.6
CPU 20,RAM 15,S 23,GPU 29,15,FHD,Non-Touch,Laptop,GER,161559.958
CPU 20,RAM 7,S 41,GPU 28,15,QHD+,Non-Touch,Laptop,IND,578375.112
CPU 25,RAM 3,S 70,GPU 19,DT,DT,DT,Desktop,IND,238581.84
CPU 25,RAM 15,S 56,GPU 14,17,FHD,Non-Touch,Laptop,AUS,213976.455
CPU 25,RAM 7,S 23,GPU 5,17,FHD,Non-Touch,Laptop,FRA,138178.355
CPU 20,RAM 15,S 23,GPU 28,15,FHD,Touch,Laptop,IND,212550.45
CPU 22,RAM 7,S 5,GPU 26,17,FHD,Non-Touch,Laptop,CAN,649254.06
CPU 20,RAM 7,S 44,GPU 3,DT,DT,DT,Desktop,IND,533067.36
CPU 20,RAM 3,S 56,GPU 19,DT,DT,DT,Laptop,IND,248065.972
CPU 1,RAM 3,S 23,GPU 28,15,QHD+,Non-Touch,Laptop,IND,718729.032
CPU 22,RAM 15,S 52,GPU 3,15,FHD,Non-Touch,Laptop,AUS,508174.59
CPU 20,RAM 7,S 39,GPU 3,17,FHD,Non-Touch,Laptop,CHN,819100.8
CPU 1,RAM 3,S 41,GPU 32,15,QHD+,Non-Touch,Laptop,IND,627266.052
CPU 44,RAM 13,S 23,GPU 28,17,HD+,Non-Touch,Laptop,IND,73150.56
CPU 13,RAM 15,S 41,GPU 28,12,HD+,Non-Touch,Laptop,AUS,155584.065
CPU 25,RAM 15,S 23,GPU 7,DT,DT,DT,Desktop,FRA,244123.25
CPU 42,RAM 13,S 41,GPU 28,13,FHD,Touch,Laptop,GBR,129123.183
CPU 20,RAM 3,S 23,GPU 5,DT,DT,DT,Desktop,IND,370007.526
CPU 12,RAM 3,S 54,GPU 10,14,FHD,Touch,Laptop,USA,249859.008
CPU 6,RAM 13,S 40,GPU 5,15,FHD,Non-Touch,Laptop,CAN,189505.2705
CPU 20,RAM 7,S 70,GPU 32,15,QHD+,Non-Touch,Laptop,IND,1018976.728
CPU 25,RAM 16,S 23,GPU 4,17,HD+,Touch,Laptop,FRA,121138.5
CPU 20,RAM 15,S 40,GPU 19,17,FHD,Non-Touch,Laptop,BRA,286115.4625
CPU 9,RAM 15,S 75,GPU 14,DT,DT,DT,Desktop,FRA,147516.201
CPU 20,RAM 15,S 16,GPU 28,15,FHD,Non-Touch,Laptop,FRA,143580.78
CPU 20,RAM 2,S 56,GPU 19,DT,DT,DT,Desktop,USA,322430.976
CPU 6,RAM 15,S 41,GPU 28,13,FHD,Touch,Laptop,IND,265170.78
CPU 26,RAM 13,S 39,GPU 29,15,HD+,Non-Touch,Laptop,GER,40272.414
CPU 20,RAM 3,S 70,GPU 19,15,FHD,Non-Touch,Laptop,AUS,368522.7
CPU 25,RAM 15,S 54,GPU 26,DT,DT,DT,Desktop,FRA,310861.166
CPU 20,RAM 7,S 52,GPU 5,DT,DT,DT,Desktop,FRA,236418
CPU 18,RAM 13,S 70,GPU 4,15,FHD,Non-Touch,Laptop,GER,85940.316
CPU 25,RAM 3,S 56,GPU 28,15,FHD,Non-Touch,Laptop,IND,191584.092
CPU 20,RAM 15,S 56,GPU 7,17,UHD,Non-Touch,Laptop,IND,431446.232
CPU 10,RAM 15,S 67,GPU 19,15,FHD,Non-Touch,Laptop,FRA,186415.117
CPU 20,RAM 3,S 16,GPU 32,27,UHD,Touch,Desktop,USA,596351.448
CPU 25,RAM 15,S 23,GPU 7,15,UHD,Non-Touch,Laptop,FRA,288902.124
CPU 5,RAM 15,S 23,GPU 28,15,FHD,Non-Touch,Laptop,GER,162203.034
CPU 20,RAM 7,S 60,GPU 26,15,FHD,Non-Touch,Laptop,FRA,420523.131
CPU 6,RAM 2,S 5,GPU 28,27,UHD,Touch,Desktop,BRA,343581.8757
CPU 44,RAM 15,S 23,GPU 28,23,FHD,Touch,Desktop,USA,148862.448
CPU 20,RAM 3,S 56,GPU 5,23,FHD,Touch,Desktop,USA,327663.65016
CPU 42,RAM 13,S 39,GPU 28,15,HD+,Non-Touch,Laptop,AUS,104089.86
CPU 20,RAM 3,S 55,GPU 5,17,FHD,Non-Touch,Laptop,FRA,292761
CPU 1,RAM 3,S 23,GPU 32,15,QHD+,Non-Touch,Laptop,IND,1140065.85
CPU 22,RAM 1,S 70,GPU 17,DT,DT,DT,Desktop,FRA,199204.047
CPU 20,RAM 15,S 41,GPU 10,15,FHD,Touch,Laptop,FRA,275378.033
CPU 25,RAM 15,S 4,GPU 28,15,FHD,Non-Touch,Laptop,AUS,279186.915
CPU 22,RAM 7,S 70,GPU 32,15,QHD+,Non-Touch,Laptop,IND,1119163.92
CPU 35,RAM 15,S 23,GPU 5,15,FHD,Non-Touch,Laptop,GER,138500.656
CPU 10,RAM 16,S 23,GPU 14,DT,DT,DT,Desktop,FRA,184231.019
CPU 22,RAM 3,S 23,GPU 18,DT,DT,DT,Desktop,FRA,305968.026
CPU 20,RAM 2,S 37,GPU 2,DT,DT,DT,Desktop,FRA,596398.012
CPU 20,RAM 15,S 54,GPU 5,17,FHD,Non-Touch,Laptop,IND,278295.094
CPU 25,RAM 3,S 56,GPU 2,DT,DT,DT,Desktop,IND,487190.494
CPU 42,RAM 13,S 23,GPU 28,14,HD,Touch,Desktop,CHN,80622.108
CPU 2,RAM 13,S 41,GPU 28,15,FHD,Non-Touch,Laptop,CAN,143881.92
CPU 22,RAM 3,S 70,GPU 26,17,FHD,Non-Touch,Laptop,AUS,448845.075
CPU 20,RAM 1,S 23,GPU 26,DT,DT,DT,Desktop,FRA,240990.449
CPU 2,RAM 15,S 23,GPU 28,DT,DT,DT,Desktop,FRA,133663.005
CPU 22,RAM 7,S 70,GPU 26,17,FHD,Non-Touch,Laptop,BRA,785573.8891
CPU 22,RAM 15,S 70,GPU 17,DT,DT,DT,Desktop,FRA,295292.935
CPU 20,RAM 7,S 23,GPU 28,17,FHD,Non-Touch,Desktop,CHN,950518.8
CPU 42,RAM 13,S 23,GPU 28,15,FHD,Non-Touch,Laptop,CAN,102354.1064
CPU 6,RAM 15,S 40,GPU 28,13,FHD+,Non-Touch,Laptop,FRA,230766.921
CPU 6,RAM 15,S 23,GPU 10,15,UHD,Touch,Laptop,FRA,122637.956
CPU 22,RAM 3,S 54,GPU 5,14,FHD,Non-Touch,Laptop,IND,324093.93604
CPU 20,RAM 3,S 41,GPU 5,15,FHD,Touch,Laptop,IND,338583.182
CPU 22,RAM 3,S 31,GPU 18,DT,DT,DT,Desktop,FRA,309726.893
CPU 25,RAM 15,S 4,GPU 19,17,FHD,Non-Touch,Laptop,CAN,351766.8518
CPU 1,RAM 3,S 52,GPU 3,13,FHD,Touch,Laptop,CAN,832372.45
CPU 25,RAM 3,S 23,GPU 5,15,FHD,Non-Touch,Laptop,AUS,235431.105
CPU 20,RAM 15,S 4,GPU 19,DT,DT,DT,Desktop,IND,278382.65
CPU 6,RAM 15,S 23,GPU 5,DT,DT,DT,Desktop,CAN,131910.8518
CPU 20,RAM 15,S 54,GPU 28,15,UHD,Touch,Laptop,FRA,256197.9
CPU 20,RAM 15,S 54,GPU 28,13,FHD+,Non-Touch,Laptop,AUS,207448.08
CPU 1,RAM 3,S 7,GPU 2,15,FHD,Non-Touch,Laptop,IND,718297.86
CPU 20,RAM 3,S 70,GPU 28,14,FHD,Non-Touch,Laptop,CHN,676166.4
CPU 22,RAM 15,S 41,GPU 12,15,FHD,Non-Touch,Laptop,AUS,249741.135
CPU 25,RAM 15,S 41,GPU 28,DT,DT,DT,Desktop,IND,192253.152
CPU 22,RAM 15,S 23,GPU 17,DT,DT,DT,Desktop,FRA,301627.83
CPU 6,RAM 3,S 16,GPU 2,DT,DT,DT,Desktop,BRA,541653.7
CPU 25,RAM 15,S 23,GPU 28,13,FHD,Touch,Laptop,FRA,307717.802
CPU 20,RAM 3,S 16,GPU 19,DT,DT,DT,0,CAN,402296.44
CPU 6,RAM 3,S 28,GPU 19,DT,DT,DT,Desktop,BRA,423786.70369
CPU 20,RAM 3,S 75,GPU 7,DT,DT,DT,Desktop,FRA,411905.809
CPU 20,RAM 3,S 2,GPU 7,DT,DT,DT,Desktop,FRA,308697.795
CPU 20,RAM 16,S 56,GPU 14,15,FHD,Touch,Laptop,IND,339059.784
CPU 13,RAM 3,S 56,GPU 19,15,FHD,Non-Touch,Laptop,FRA,255490.739
CPU 42,RAM 13,S 40,GPU 28,14,FHD,Non-Touch,Laptop,IND,91983.36
CPU 25,RAM 15,S 41,GPU 14,17,FHD,Non-Touch,Laptop,CAN,260970.71
CPU 25,RAM 3,S 4,GPU 14,15,FHD,Non-Touch,Laptop,CAN,251091.75
CPU 20,RAM 3,S 52,GPU 18,15,FHD,Non-Touch,Laptop,AUS,477681.75
CPU 23,RAM 15,S 40,GPU 28,12,FHD+,Touch,Laptop,AUS,144076.8
CPU 25,RAM 15,S 54,GPU 12,15,FHD,Non-Touch,Laptop,GER,305335.856
CPU 20,RAM 3,S 55,GPU 5,15,UHD,Non-Touch,Laptop,BRA,370805.6394
CPU 25,RAM 15,S 40,GPU 28,13,UHD,Non-Touch,Laptop,AUS,294868.98
CPU 25,RAM 3,S 41,GPU 18,15,FHD,Non-Touch,Laptop,FRA,344397.704
CPU 22,RAM 3,S 54,GPU 18,15,UHD,Non-Touch,Laptop,AUS,557724.7914
CPU 25,RAM 15,S 23,GPU 28,14,FHD,Touch,Laptop,FRA,145968.683
CPU 12,RAM 3,S 4,GPU 8,DT,DT,DT,Desktop,FRA,187128.564
CPU 25,RAM 15,S 28,GPU 28,15,FHD,Non-Touch,Laptop,AUS,196871.955
CPU 20,RAM 3,S 70,GPU 3,DT,DT,DT,0,IND,663714.954
CPU 13,RAM 3,S 56,GPU 7,17,FHD,Non-Touch,Laptop,CAN,330372.042
CPU 6,RAM 15,S 41,GPU 4,15,FHD,Non-Touch,Laptop,IND,189005.01438
CPU 22,RAM 7,S 23,GPU 28,15,QHD+,Non-Touch,Laptop,IND,1113169.638
CPU 20,RAM 15,S 41,GPU 28,13,QHD+,Non-Touch,Laptop,AUS,505021.86
CPU 20,RAM 15,S 4,GPU 28,15,UHD,Touch,Laptop,FRA,332157.525
CPU 20,RAM 3,S 46,GPU 7,17,FHD,Non-Touch,Laptop,CHN,816354
CPU 25,RAM 3,S 4,GPU 4,14,FHD,Non-Touch,Laptop,IND,225051.134
CPU 20,RAM 7,S 76,GPU 11,DT,DT,DT,Desktop,IND,917690.956
CPU 25,RAM 15,S 56,GPU 28,15,FHD,Non-Touch,Desktop,AUS,247659.615
CPU 10,RAM 15,S 23,GPU 12,15,FHD,Non-Touch,Laptop,AUS,215424.09
CPU 22,RAM 7,S 23,GPU 14,DT,DT,DT,Desktop,FRA,267187.571
CPU 22,RAM 15,S 41,GPU 18,DT,DT,DT,Desktop,FRA,364137.62
CPU 25,RAM 15,S 43,GPU 14,DT,DT,DT,Desktop,FRA,242498.599
CPU 20,RAM 15,S 54,GPU 19,17,FHD,Non-Touch,Laptop,IND,372321.978
CPU 25,RAM 15,S 54,GPU 28,13,UHD,Non-Touch,Laptop,AUS,208839.855
CPU 16,RAM 13,S 39,GPU 28,15,HD+,Touch,Laptop,CHN,118492.3404
CPU 1,RAM 7,S 23,GPU 14,15,UHD,Touch,Laptop,IND,968622.116
CPU 32,RAM 11,S 67,GPU 28,10,HD+,Touch,Laptop,GER,48671.21
CPU 13,RAM 15,S 40,GPU 28,13,FHD,Non-Touch,Laptop,AUS,201247.725
CPU 20,RAM 3,S 49,GPU 26,15,FHD,Non-Touch,Laptop,AUS,648611.145
CPU 20,RAM 15,S 54,GPU 14,DT,DT,DT,Desktop,FRA,251147.001
CPU 22,RAM 3,S 54,GPU 3,15,FHD,Non-Touch,Laptop,FRA,632097.55
CPU 10,RAM 15,S 54,GPU 18,15,FHD,Non-Touch,Laptop,AUS,309345.225
CPU 20,RAM 3,S 16,GPU 19,17,FHD,Non-Touch,Laptop,AUS,370612.935
CPU 20,RAM 3,S 54,GPU 28,13,QHD,Non-Touch,Laptop,IND,445742.64
CPU 25,RAM 15,S 23,GPU 28,DT,DT,DT,Laptop,USA,178059.168
CPU 20,RAM 3,S 39,GPU 5,17,FHD,Non-Touch,Laptop,CHN,650449.8
CPU 20,RAM 8,S 23,GPU 7,15,FHD,Non-Touch,Laptop,GER,919824.4622
CPU 35,RAM 3,S 55,GPU 11,DT,DT,DT,Desktop,IND,1326629.514
CPU 20,RAM 3,S 56,GPU 3,DT,DT,DT,Desktop,IND,688624.636
CPU 10,RAM 3,S 4,GPU 19,DT,DT,DT,Desktop,IND,302838.858
CPU 25,RAM 3,S 52,GPU 33,DT,DT,DT,Desktop,FRA,200820.445
CPU 20,RAM 13,S 43,GPU 14,DT,DT,DT,Desktop,FRA,239565.424
CPU 20,RAM 15,S 28,GPU 19,15,FHD,Non-Touch,Laptop,AUS,335215.965
CPU 20,RAM 3,S 54,GPU 5,15,FHD,Non-Touch,Laptop,AUS,655056.465
CPU 22,RAM 15,S 41,GPU 19,15,UHD,Non-Touch,Laptop,FRA,277127.41
CPU 36,RAM 13,S 40,GPU 28,15,HD+,Non-Touch,Laptop,IND,116143.034
CPU 20,RAM 1,S 23,GPU 28,15,FHD,Non-Touch,Laptop,BRA,196000.69895
CPU 22,RAM 15,S 56,GPU 3,DT,DT,DT,Desktop,IND,474684.854
CPU 1,RAM 7,S 70,GPU 3,15,FHD,Non-Touch,Laptop,AUS,1184360.52
CPU 25,RAM 3,S 55,GPU 14,15,FHD,Non-Touch,Laptop,FRA,245830.2
CPU 19,RAM 7,S 67,GPU 11,DT,DT,DT,Desktop,AUS,3141560.73
CPU 20,RAM 15,S 54,GPU 28,13,QHD,Non-Touch,Laptop,AUS,251960.625
CPU 25,RAM 15,S 55,GPU 17,DT,DT,DT,Desktop,FRA,386610.861
CPU 20,RAM 3,S 70,GPU 18,17,FHD,Non-Touch,Laptop,CHN,1041440.4
CPU 10,RAM 7,S 23,GPU 19,15,FHD,Non-Touch,Laptop,FRA,325497.375
CPU 20,RAM 15,S 4,GPU 4,14,FHD,Non-Touch,Laptop,AUS,332398.08
CPU 25,RAM 3,S 56,GPU 19,17,FHD,Touch,Laptop,IND,470506.12
CPU 20,RAM 7,S 54,GPU 26,17,FHD,Non-Touch,Laptop,AUS,956467.47
CPU 20,RAM 11,S 4,GPU 28,13,UHD,Touch,Laptop,FRA,203753.319
CPU 12,RAM 3,S 56,GPU 2,DT,DT,DT,Desktop,IND,443740.416
CPU 20,RAM 15,S 53,GPU 19,15,FHD,Non-Touch,Laptop,FRA,227882.319
CPU 25,RAM 15,S 70,GPU 28,23,FHD,Non-Touch,Desktop,CAN,275049.32
CPU 25,RAM 15,S 46,GPU 28,13,UHD,Touch,Laptop,AUS,401667.42
CPU 20,RAM 3,S 28,GPU 2,DT,DT,DT,Desktop,FRA,432443.263
CPU 25,RAM 15,S 16,GPU 17,DT,DT,DT,Desktop,FRA,368015.284
CPU 6,RAM 15,S 4,GPU 5,15,HD+,Non-Touch,Laptop,GER,635334.6468
CPU 22,RAM 3,S 52,GPU 18,17,FHD,Non-Touch,Laptop,BRA,682638.29158
CPU 19,RAM 3,S 16,GPU 11,DT,DT,DT,Desktop,IND,1326277.638
CPU 6,RAM 3,S 41,GPU 28,13,QHD+,Non-Touch,Laptop,IND,648304.272
